itemType,title,date,checkOutTimes,checkOutDuration
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/12,13,15
accd,ChangesBowie,2006/12,11,7.2
accd,David live,2006/12,10,27.5
accd,Diamond dogs,2006/12,15,12.7143
accd,Earthling,2006/12,4,33
accd,Heathen,2006/12,7,14.25
accd,Heroes,2006/12,15,15
accd,Hunky dory,2006/12,17,50.2727
accd,Lodger,2006/12,17,8.1
accd,Low,2006/12,28,10
accd,man who sold the world,2006/12,26,15.8182
accd,Outside,2006/12,23,9
accd,Reality,2006/12,5,30.5
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/12,21,12.4545
accd,Scary monsters,2006/12,9,12.3333
accd,Space oddity,2006/12,14,18
accd,Stage,2006/12,21,10.5
accd,Station to station,2006/12,25,46.1667
accd,Young Americans,2006/12,22,7.6364
accd,Aladdin sane,2007/01,13,20.375
accd,Best of Bowie,2007/01,12,23.4286
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2007/01,9,25.25
accd,ChangesBowie,2007/01,6,19.75
accd,David live,2007/01,9,27.6
accd,Diamond dogs,2007/01,10,22.2857
accd,Earthling,2007/01,4,9
accd,Heathen,2007/01,8,27.1429
accd,Heroes,2007/01,3,24.5
accd,Hunky dory,2007/01,10,13
accd,Lodger,2007/01,9,23.8333
accd,Low,2007/01,9,19
accd,man who sold the world,2007/01,18,24.4286
accd,Outside,2007/01,18,18.3
accd,Reality,2007/01,1,NULL
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2007/01,17,15.8
accd,Scary monsters,2007/01,17,19.4545
accd,Space oddity,2007/01,9,19.5
accd,Stage,2007/01,15,22.7
accd,Station to station,2007/01,15,17
accd,Young Americans,2007/01,13,16.1111
accd,Aladdin sane,2007/02,19,10.9231
